#&a / °	I1 / %
-1.135	10.3
-1.138	10.3
-1.141	10.3
-1.144	10.3
-1.147	10.3
-1.150	10.2
-1.153	10.2
-1.156	10.2
-1.158	10.2
-1.161	10.2
-1.164	10.2
-1.167	10.2
-1.170	10.2
-1.173	10.2
-1.176	10.2
-1.179	10.2
-1.182	10.2
-1.185	10.2
-1.188	10.2
-1.191	10.2
-1.194	10.2
-1.197	10.2
-1.200	10.2
-1.203	10.2
-1.206	10.2
-1.209	10.2
-1.212	10.2
-1.215	10.2
-1.218	10.2
-1.221	10.2
-1.224	10.2
-1.227	10.2
-1.230	10.2
-1.233	10.2
-1.236	10.2
-1.239	10.2
-1.242	10.2
-1.245	10.2
-1.248	10.3
-1.251	10.2
-1.254	10.3
-1.256	10.3
-1.259	10.3
-1.262	10.3
-1.265	10.3
-1.268	10.3
-1.271	10.3
-1.274	10.3
-1.277	10.3
-1.280	10.3
-1.283	10.3
-1.286	10.3
-1.289	10.3
-1.292	10.3
-1.295	10.3
-1.298	10.3
-1.301	10.3
-1.304	10.3
-1.307	10.3
-1.310	10.3
-1.313	10.3
-1.316	10.3
-1.319	10.3
-1.322	10.3
-1.325	10.3
-1.328	10.3
-1.331	10.3
-1.334	10.3
-1.337	10.3
-1.340	10.3
-1.343	10.3
-1.346	10.3
-1.349	10.3
-1.352	10.3
-1.354	10.3
-1.357	10.3
-1.360	10.3
-1.363	10.3
-1.366	10.3
-1.369	10.3
-1.372	10.3
-1.375	10.4
-1.378	10.3
-1.381	10.3
-1.384	10.4
-1.387	10.3
-1.390	10.4
-1.393	10.4
-1.396	10.4
-1.399	10.3
-1.402	10.3
-1.405	10.3
-1.408	10.3
-1.411	10.3
-1.414	10.3
-1.417	10.3
-1.420	10.3
-1.423	10.3
-1.426	10.3
-1.429	10.3
-1.432	10.3
-1.435	10.3
-1.438	10.4
-1.441	10.3
-1.444	10.3
-1.447	10.4
-1.449	10.4
-1.452	10.4
-1.455	10.4
-1.458	10.4
-1.461	10.4
-1.464	10.4
-1.467	10.4
-1.470	10.4
-1.473	10.4
-1.476	10.4
-1.479	10.4
-1.482	10.4
-1.485	10.4
-1.488	10.4
-1.491	10.4
-1.494	10.4
-1.497	10.4
-1.500	10.4
-1.503	10.3
-1.506	10.3
-1.509	10.3
-1.512	10.3
-1.515	10.3
-1.518	10.3
-1.521	10.4
-1.524	10.4
-1.527	10.3
-1.530	10.3
-1.533	10.3
-1.536	10.3
-1.539	10.3
-1.542	10.3
-1.544	10.3
-1.547	10.3
-1.550	10.3
-1.553	10.3
-1.556	10.3
-1.559	10.3
-1.562	10.3
-1.565	10.3
-1.568	10.3
-1.571	10.3
-1.574	10.4
-1.577	10.4
-1.580	10.4
-1.583	10.4
-1.586	10.4
-1.589	10.4
-1.592	10.4
-1.595	10.4
-1.598	10.4
-1.601	10.4
-1.604	10.4
-1.607	10.4
-1.610	10.4
-1.613	10.4
-1.616	10.4
-1.619	10.4
-1.622	10.4
-1.625	10.4
-1.628	10.4
-1.631	10.4
-1.634	10.4
-1.637	10.4
-1.639	10.3
-1.642	10.3
-1.645	10.3
-1.648	10.4
-1.651	10.3
-1.654	10.3
-1.657	10.3
-1.660	10.3
-1.663	10.3
-1.666	10.3
-1.669	10.3
-1.672	10.3
-1.675	10.3
-1.678	10.3
-1.681	10.3
-1.684	10.3
-1.687	10.3
-1.690	10.3
-1.693	10.3
-1.696	10.3
-1.699	10.3
-1.702	10.3
-1.705	10.3
-1.708	10.3
-1.711	10.3
-1.714	10.3
-1.717	10.3
-1.720	10.3
-1.723	10.3
-1.726	10.3
-1.729	10.3
-1.732	10.3
-1.734	10.3
-1.737	10.3
-1.740	10.3
-1.743	10.3
-1.746	10.3
-1.749	10.3
-1.752	10.3
-1.755	10.3
-1.758	10.3
-1.761	10.3
-1.764	10.3
-1.767	10.3
-1.770	10.3
-1.773	10.3
-1.776	10.3
-1.779	10.3
-1.782	10.3
-1.785	10.3
-1.788	10.3
-1.791	10.3
-1.794	10.3
-1.797	10.3
-1.800	10.3
-1.803	10.3
-1.806	10.3
-1.809	10.3
-1.812	10.3
-1.815	10.3
-1.818	10.3
-1.821	10.3
-1.824	10.3
-1.826	10.3
-1.829	10.3
-1.832	10.3
-1.835	10.3
-1.838	10.3
-1.841	10.3
-1.844	10.3
-1.847	10.3
-1.850	10.3
-1.853	10.3
-1.856	10.3
-1.859	10.3
-1.862	10.3
-1.865	10.3
-1.868	10.3
-1.871	10.3
-1.874	10.3
-1.877	10.3
-1.880	10.3
-1.883	10.3
-1.886	10.3
